time,prediction,actual,result,bet,pnl,balance
2026-05-30 23:05,DOWN,DOWN,WIN,50.0,45.0,890.0
2026-05-31 00:05,DOWN,DOWN,WIN,50.0,45.0,935.0
2026-05-31 01:05,UP,DOWN,LOSS,50.0,-50.0,885.0
2026-05-31 02:05,UP,DOWN,LOSS,50.0,-50.0,835.0
2026-05-31 03:05,UP,DOWN,LOSS,50.0,-50.0,785.0
2026-05-31 04:05,UP,DOWN,LOSS,50.0,-50.0,735.0
2026-05-31 05:05,UP,DOWN,LOSS,50.0,-50.0,685.0
2026-05-31 06:05,DOWN,DOWN,WIN,50.0,45.0,730.0
2026-05-31 07:05,DOWN,DOWN,WIN,50.0,45.0,775.0
2026-05-31 08:05,DOWN,DOWN,WIN,50.0,45.0,820.0
2026-05-31 10:05,DOWN,DOWN,WIN,50.0,45.0,865.0
2026-05-31 12:05,UP,DOWN,LOSS,50.0,-50.0,815.0
2026-05-31 14:05,DOWN,DOWN,WIN,50.0,45.0,860.0
2026-05-31 15:05,DOWN,DOWN,WIN,50.0,45.0,905.0
2026-05-31 17:05,DOWN,DOWN,WIN,50.0,45.0,950.0
2026-05-31 19:05,DOWN,DOWN,WIN,50.0,45.0,995.0
2026-05-31 20:05,DOWN,DOWN,WIN,50.0,45.0,1040.0
2026-05-31 21:05,UP,DOWN,LOSS,50.0,-50.0,990.0
2026-05-31 22:05,UP,DOWN,LOSS,50.0,-50.0,940.0
2026-05-31 23:05,UP,DOWN,LOSS,50.0,-50.0,890.0
2026-06-01 00:05,DOWN,DOWN,WIN,50.0,45.0,935.0
2026-06-01 01:05,UP,DOWN,LOSS,50.0,-50.0,885.0
2026-06-01 02:05,DOWN,DOWN,WIN,50.0,45.0,930.0
2026-06-01 05:05,DOWN,DOWN,WIN,50.0,45.0,975.0
2026-06-01 06:05,DOWN,DOWN,WIN,50.0,45.0,1020.0
2026-06-01 07:05,DOWN,DOWN,WIN,50.0,45.0,1065.0
2026-06-01 08:05,DOWN,DOWN,WIN,50.0,45.0,1110.0
2026-06-01 10:05,DOWN,DOWN,WIN,50.0,45.0,1155.0
2026-06-01 11:05,DOWN,DOWN,WIN,50.0,45.0,1200.0
2026-06-01 12:05,DOWN,DOWN,WIN,50.0,45.0,1245.0
2026-06-01 13:05,DOWN,DOWN,WIN,50.0,45.0,1290.0
2026-06-01 14:05,DOWN,DOWN,WIN,50.0,45.0,1335.0
2026-06-01 15:05,DOWN,DOWN,WIN,50.0,45.0,1380.0
2026-06-01 16:05,DOWN,DOWN,WIN,50.0,45.0,1425.0
2026-06-01 18:05,UP,DOWN,LOSS,50.0,-50.0,1375.0
2026-06-01 21:05,DOWN,DOWN,WIN,50.0,45.0,1420.0
2026-06-01 22:05,DOWN,DOWN,WIN,50.0,45.0,1465.0
