time,prediction,actual,result,bet,pnl,balance
2026-05-27 16:05,DOWN,DOWN,WIN,50.0,45.0,1635.0
2026-05-27 16:10,DOWN,DOWN,WIN,50.0,45.0,1680.0
2026-05-27 17:05,UP,DOWN,LOSS,50.0,-50.0,1630.0
2026-05-27 17:10,UP,DOWN,LOSS,50.0,-50.0,1580.0
2026-05-27 19:05,DOWN,DOWN,WIN,50.0,45.0,1625.0
2026-05-27 19:10,DOWN,DOWN,WIN,50.0,45.0,1670.0
2026-05-27 20:05,DOWN,DOWN,WIN,50.0,45.0,1715.0
2026-05-27 20:10,DOWN,DOWN,WIN,50.0,45.0,1760.0
2026-05-27 23:05,DOWN,DOWN,WIN,50.0,45.0,1805.0
2026-05-27 23:10,DOWN,DOWN,WIN,50.0,45.0,1850.0
2026-05-28 00:05,DOWN,DOWN,WIN,50.0,45.0,1895.0
2026-05-28 00:10,DOWN,DOWN,WIN,50.0,45.0,1940.0
2026-05-28 01:05,DOWN,DOWN,WIN,50.0,45.0,1985.0
2026-05-28 01:10,DOWN,DOWN,WIN,50.0,45.0,2030.0
2026-05-28 07:05,DOWN,DOWN,WIN,50.0,45.0,2075.0
2026-05-28 07:10,DOWN,DOWN,WIN,50.0,45.0,2120.0
2026-05-28 09:05,UP,DOWN,LOSS,50.0,-50.0,2070.0
2026-05-28 09:10,UP,DOWN,LOSS,50.0,-50.0,2020.0
2026-05-28 11:05,UP,DOWN,LOSS,50.0,-50.0,1970.0
2026-05-28 11:10,UP,DOWN,LOSS,50.0,-50.0,1920.0
2026-05-28 20:05,UP,DOWN,LOSS,50.0,-50.0,1870.0
2026-05-28 20:10,UP,DOWN,LOSS,50.0,-50.0,1820.0
2026-05-29 00:05,DOWN,DOWN,WIN,50.0,45.0,1865.0
2026-05-29 00:10,DOWN,DOWN,WIN,50.0,45.0,1910.0
2026-05-29 04:05,DOWN,DOWN,WIN,50.0,45.0,1955.0
2026-05-29 04:10,DOWN,DOWN,WIN,50.0,45.0,2000.0
2026-05-29 11:05,UP,DOWN,LOSS,50.0,-50.0,1950.0
2026-05-29 11:10,UP,DOWN,LOSS,50.0,-50.0,1900.0
2026-05-29 18:05,UP,DOWN,LOSS,50.0,-50.0,1850.0
2026-05-29 18:10,UP,DOWN,LOSS,50.0,-50.0,1800.0
2026-05-29 18:15,UP,DOWN,LOSS,50.0,-50.0,1750.0
2026-05-29 20:05,DOWN,DOWN,WIN,50.0,45.0,1795.0
2026-05-29 20:10,DOWN,DOWN,WIN,50.0,45.0,1840.0
2026-05-29 23:05,DOWN,DOWN,WIN,50.0,45.0,1885.0
2026-05-29 23:10,DOWN,DOWN,WIN,50.0,45.0,1930.0
2026-05-30 07:05,UP,DOWN,LOSS,50.0,-50.0,1880.0
2026-05-30 07:10,UP,DOWN,LOSS,50.0,-50.0,1830.0
2026-05-30 12:05,UP,DOWN,LOSS,50.0,-50.0,1780.0
2026-05-30 12:10,UP,DOWN,LOSS,50.0,-50.0,1730.0
2026-05-30 16:05,UP,DOWN,LOSS,50.0,-50.0,1680.0
2026-05-30 16:10,UP,DOWN,LOSS,50.0,-50.0,1630.0
2026-05-30 20:05,UP,DOWN,LOSS,50.0,-50.0,1580.0
2026-05-30 20:10,UP,DOWN,LOSS,50.0,-50.0,1530.0
2026-05-30 22:05,DOWN,DOWN,WIN,50.0,45.0,1575.0
2026-05-30 22:10,DOWN,DOWN,WIN,50.0,45.0,1620.0
2026-05-31 09:05,DOWN,DOWN,WIN,50.0,45.0,1665.0
2026-05-31 09:10,DOWN,DOWN,WIN,50.0,45.0,1710.0
2026-05-31 11:05,DOWN,DOWN,WIN,50.0,45.0,1755.0
2026-05-31 11:10,DOWN,DOWN,WIN,50.0,45.0,1800.0
2026-05-31 13:05,UP,DOWN,LOSS,50.0,-50.0,1750.0
2026-05-31 13:10,UP,DOWN,LOSS,50.0,-50.0,1700.0
2026-05-31 16:05,DOWN,DOWN,WIN,50.0,45.0,1745.0
2026-05-31 16:10,DOWN,DOWN,WIN,50.0,45.0,1790.0
2026-05-31 18:05,DOWN,DOWN,WIN,50.0,45.0,1835.0
2026-05-31 18:10,DOWN,DOWN,WIN,50.0,45.0,1880.0
2026-06-01 03:05,DOWN,DOWN,WIN,50.0,45.0,1925.0
2026-06-01 03:10,DOWN,DOWN,WIN,50.0,45.0,1970.0
2026-06-01 04:05,UP,DOWN,LOSS,50.0,-50.0,1920.0
2026-06-01 04:10,UP,DOWN,LOSS,50.0,-50.0,1870.0
2026-06-01 04:15,UP,DOWN,LOSS,50.0,-50.0,1820.0
2026-06-01 09:05,DOWN,DOWN,WIN,50.0,45.0,1865.0
2026-06-01 09:10,DOWN,DOWN,WIN,50.0,45.0,1910.0
2026-06-01 09:15,DOWN,DOWN,WIN,50.0,45.0,1955.0
2026-06-01 17:05,DOWN,DOWN,WIN,50.0,45.0,2000.0
2026-06-01 17:10,DOWN,DOWN,WIN,50.0,45.0,2045.0
2026-06-01 19:05,UP,DOWN,LOSS,50.0,-50.0,1995.0
2026-06-01 20:05,DOWN,DOWN,WIN,50.0,45.0,2040.0
2026-06-01 20:10,DOWN,DOWN,WIN,50.0,45.0,2085.0
2026-06-01 23:05,DOWN,DOWN,WIN,50.0,45.0,2130.0
2026-06-01 23:10,DOWN,DOWN,WIN,50.0,45.0,2175.0
